公金支出情報（令和元年５月（出納整理期間）分）,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
局名,部名,課名,支払日,会計名,款名,項名,目名,節・細節名,支払内容（件名）,　　　支払額　（円）　
政策企画局,政策調整部,政策調整課,令和01年05月15日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,チケットによるタクシー利用料金の支払い（3月分）,"170,770 "
政策企画局,政策調整部,政策調整課,令和01年05月15日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,チケットによるタクシー利用料金の支払い（3月分）,"4,210 "
政策企画局,政策調整部,政策調整課,令和01年05月15日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,チケットによるタクシー利用料金の支払い（3月分）,"2,430 "
政策企画局,政策調整部,政策調整課,令和01年05月15日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,チケットによるタクシー利用料金の支払い（3月分）,"216,027 "
政策企画局,政策調整部,政策調整課,令和01年05月15日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,チケットによるタクシー利用料金の支払い（3月分）,"63,560 "
政策企画局,政策調整部,政策調整課,令和01年05月17日,一般会計,総務費,政策企画費,管理費,委託料,都庁舎デジタルサイネージ機器管理運用委託契約,"3,672,000 "
政策企画局,政策調整部,政策調整課,令和01年05月17日,一般会計,総務費,政策企画費,管理費,委託料,ＶＲコンテンツ用　画像・動画の製作業務委託,"9,955,440 "
政策企画局,政策調整部,政策調整課,令和01年05月20日,一般会計,総務費,政策企画費,管理費,需用費 一般需用費,日刊紙の購読に係る支出（3月分）,"80,796 "
政策企画局,政策調整部,政策調整課,令和01年05月20日,一般会計,総務費,政策企画費,管理費,役務費,地上デジタル放送番組情報配信委託の支払い（3月分）,"64,800 "
政策企画局,政策調整部,政策調整課,令和01年05月20日,一般会計,総務費,政策企画費,管理費,役務費,固定IPアドレス利用契約の支払い（３月分）,"10,584 "
政策企画局,政策調整部,政策調整課,令和01年05月20日,一般会計,総務費,政策企画費,管理費,需用費 一般需用費,雑誌「外交」・「FACTA」の購入に係る支出（1〜3月分,"5,784 "
政策企画局,政策調整部,政策調整課,令和01年05月20日,一般会計,総務費,政策企画費,管理費,需用費 一般需用費,雑誌「月刊ＴＨＥＭＩＳ」の購入,"12,360 "
政策企画局,政策調整部,政策調整課,令和01年05月20日,一般会計,総務費,政策企画費,管理費,備品購入費,シュレッダーの購入,"299,998 "
政策企画局,政策調整部,政策調整課,令和01年05月20日,一般会計,総務費,政策企画費,管理費,需用費 一般需用費,パーテーションの購入,"98,496 "
政策企画局,政策調整部,政策調整課,令和01年05月21日,一般会計,総務費,政策企画費,管理費,需用費 一般需用費,雑誌「選択」の購入,"12,000 "
政策企画局,政策調整部,政策調整課,令和01年05月21日,一般会計,総務費,政策企画費,管理費,需用費 一般需用費,複写サービスに関する契約の支払い（3月分）,"72,561 "
政策企画局,政策調整部,政策調整課,令和01年05月21日,一般会計,総務費,政策企画費,管理費,需用費 一般需用費,複写サービスに関する契約その２の支払い（３月分）,"58,514 "
政策企画局,政策調整部,政策調整課,令和01年05月22日,一般会計,総務費,政策企画費,管理費,需用費 一般需用費,雑誌の購入(概算契約)に係る支出について（1〜3月分）,"7,020 "
政策企画局,政策調整部,政策調整課,令和01年05月27日,一般会計,総務費,政策企画費,管理費,旅費 普通旅費,定日払い旅費の支出（平成30年度予算・５月支出分）,"9,080 "
政策企画局,政策調整部,政策調整課,令和01年05月27日,一般会計,総務費,政策企画費,管理費,旅費 普通旅費,定日払い旅費の支出（平成30年度予算・５月支出分）,"30,385 "
政策企画局,政策調整部,政策調整課,令和01年05月27日,一般会計,総務費,政策企画費,管理費,旅費 普通旅費,定日払い旅費の支出（平成30年度予算・５月支出分）,"1,230 "
政策企画局,政策調整部,政策調整課,令和01年05月27日,一般会計,総務費,政策企画費,管理費,旅費 普通旅費,定日払い旅費の支出（平成30年度予算・５月支出分）,"67,406 "
政策企画局,政策調整部,政策調整課,令和01年05月27日,一般会計,総務費,政策企画費,管理費,委託料,「Old meets New 東京150年」事業　実施業務委託,"192,285,999 "
政策企画局,政策調整部,政策調整課,令和01年05月27日,一般会計,総務費,政策企画費,管理費,委託料,「Old meets New 東京150年」事業　実施業務委託,"3,314,000 "
政策企画局,政策調整部,報道課,令和01年05月07日,一般会計,総務費,政策企画費,管理費,役務費,「i-Jump」の利用(平成30年度)に係る経費の支出,"534,600 "
政策企画局,政策調整部,報道課,令和01年05月07日,一般会計,総務費,青少年治安対策費,管理費,役務費,「i-Jump」の利用(平成30年度)に係る経費の支出,"58,320 "
政策企画局,政策調整部,報道課,令和01年05月07日,一般会計,総務費,総務管理費,総務管理費,役務費,「i-Jump」の利用(平成30年度)に係る経費の支出,"58,320 "
政策企画局,政策調整部,報道課,令和01年05月07日,一般会計,総務費,総務管理費,総務管理費,役務費,「i-Jump」の利用(平成30年度)に係る経費の支出,"19,440 "
政策企画局,政策調整部,報道課,令和01年05月07日,一般会計,総務費,総務管理費,総務管理費,役務費,「i-Jump」の利用(平成30年度)に係る経費の支出,"16,200 "
